,name,nationality_1,nationality_2,team,jersey,position_1,position_2,archetype,height_feet,height_cm,weight_lbs,weight_kg,wingspan_feet,wingspan_cm,season_salary,years_in_the_nba,birthdate,hometown,prior_to_nba,overall,group_outside_scoring,close_shot,mid_range_shot,three_point_shot,free_throw,shot_iq,offensive_consistency,group_athleticism,speed,agility,strength,vertical,stamina,hustle,overall_durability,group_inside_scoring,layup,standing_dunk,driving_dunk,post_hook,post_fade,post_control,draw_foul,hands,group_playmaking,pass_accuracy,ball_handle,speed_with_ball,pass_iq,pass_vision,group_defense,interior_defense,perimeter_defense,steal,block,help_defense_iq,pass_perception,defensive_consistency,group_rebounding,offensive_rebound,defensive_rebound,intangibles,potential,total_attributes,badge_deadeye,badge_limitless_range,badge_mini_marksman,badge_set_shot_specialist,badge_shifty_shooter,badge_aerial_wizard,badge_float_game,badge_hook_specialist,badge_layup_mixmaster,badge_paint_prodigy,badge_physical_finisher,badge_post_fade_phenom,badge_post_powerhouse,badge_post_up_poet,badge_posterizer,badge_rise_up,badge_ankle_assassin,badge_bail_out,badge_break_starter,badge_dimer,badge_handles_for_days,badge_lightning_launch,badge_strong_handle,badge_unpluckable,badge_versatile_visionary,badge_challenger,badge_glove,badge_high_flying_denier,badge_immovable_enforcer,badge_interceptor,badge_off_ball_pest,badge_on_ball_menace,badge_paint_patroller,badge_pick_dodger,badge_post_lockdown,badge_boxout_beast,badge_rebound_chaser,badge_brick_wall,badge_slippery_off_ball,badge_pogo_stick
106,Devin Carter,United States,,Sacramento Kings,22,PG,SF,Inside-Out Scoring Threat,"6'3""",191,195,88,"6'7""",201,,1,"March 18, 2002","Miami, Florida",Providence,74,69,83,67,75,61,60,65,86,98,89,60,94,92,90,80,55,74,30,80,40,42,42,40,95,79,80,79,90,80,68,67,58,73,80,55,70,80,50,60,51,69,50,83,2573,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,
107,Devin Vassell,United States,,San Antonio Spurs,24,SG,SF,2-Way Perimeter Shot Creator,"6'5""",196,200,90,"6'10""",208,,5,"August 23, 2000","Lawrenceville, Georgia",Florida State,81,79,87,90,81,80,50,85,78,72,83,60,77,89,85,82,66,79,40,60,51,65,65,70,95,71,76,82,65,79,53,72,62,83,59,55,81,85,80,45,34,55,60,83,2638,gold,,,silver,gold,,silver,,bronze,,,,,,,,,,,,,,,,,bronze,,,,,silver,,,silver,,,,,silver,silver
108,Dillon Brooks,Canada,,Phoenix Suns,9,SF,PF,2-Way Sharpshooter,"6'6""",198,225,101,"6'6""",198,,8,"January 22, 1996","Mississauga, Canada",Oregon,81,81,83,94,83,82,85,60,82,75,91,65,75,88,95,85,66,74,35,75,55,59,64,78,85,59,59,74,69,58,34,74,77,89,40,40,90,90,90,44,41,47,60,83,2627,,,,silver,,,,,,,,,,,,,,,,,,,,,,gold,,,silver,,gold,gold,,silver,bronze,,,,silver,gold
109,Dillon Jones,United States,,Washington Wizards,3,PF,SF,Perimeter Defender,"6'6""",198,235,106,"6'10""",208,,1,"October 29, 2001","Columbia, South Carolina",Weber State,69,55,63,70,57,55,50,35,78,75,82,70,71,85,80,80,58,72,35,65,50,50,50,55,89,65,68,70,67,69,53,57,67,69,42,42,69,57,55,63,58,67,55,77,2324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Domantas Sabonis,Lithuania,United States,Sacramento Kings,11,C,,3-Level Scoring Playmaker,"6'10""",208,240,108,"6'11""",211,,9,"May 3, 1996","Portland, Oregon",Gonzaga,87,87,98,86,83,75,80,98,72,48,49,82,54,95,90,86,88,84,75,75,94,94,93,90,98,69,82,60,43,85,73,54,70,49,36,50,69,45,60,88,81,94,75,89,2788,,,,,,,,gold,silver,gold,bronze,silver,silver,silver,,bronze,,bronze,silver,gold,,,bronze,,silver,,,,,,,,,,,gold,silver,silver,,
111,Dominick Barlow,United States,,Philadelphia 76ers,0,C,PF,Rim Protector,"6'9""",206,215,97,"7'1""",216,,3,"May 26, 2003","Dumont, New Jersey",St. Joseph's Prep,73,78,91,73,70,72,80,80,74,68,68,62,75,80,85,80,58,65,60,75,52,50,52,35,75,54,51,69,64,52,33,52,50,47,41,82,57,49,40,68,71,64,80,73,2371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Donovan Clingan,United States,,Portland Trail Blazers,23,C,,Defensive Anchor,"7'3""",221,265,119,"7'7""",231,,1,"February 23, 2004","Bristol, Connecticut",UConn,80,65,67,59,71,60,75,55,68,44,45,78,60,82,85,80,71,60,85,75,72,54,69,55,95,47,55,46,38,62,34,67,77,49,41,93,79,58,75,90,93,87,85,85,2483,,,,,,,,,,bronze,,,bronze,,,,,,,,,,,,,,,,,,,,bronze,,,gold,silver,bronze,,
113,Donovan Mitchell,United States,,Cleveland Cavaliers,45,SG,PG,Inside-Out Combo Guard,"6'3""",191,215,97,"6'10""",208,,8,"September 7, 1996","Elmsford, Connecticut",Louisville,93,89,95,82,85,82,90,98,88,95,90,60,97,96,95,80,70,97,50,92,37,49,44,90,98,85,84,90,86,92,71,68,68,75,59,42,79,79,75,48,39,56,90,94,2881,gold,silver,gold,gold,gold,bronze,silver,,silver,,gold,,,,gold,,silver,silver,,,bronze,gold,silver,bronze,silver,,,,,,,,,,,,,,bronze,bronze
114,Donte DiVincenzo,United States,,Minnesota Timberwolves,0,SG,SF,2-Way 3-Level Scoring Threat,"6'4""",193,203,91,"6'6""",198,,7,"January 31, 1997","Newark, Delaware",Villanova,79,78,76,81,84,79,75,75,84,87,87,60,95,90,85,81,53,80,25,75,28,45,38,64,70,77,77,79,81,79,70,73,58,82,70,50,84,88,80,48,36,60,80,80,2634,,,,silver,,,bronze,,bronze,,,,,,,,,bronze,silver,,,,bronze,,,,bronze,,bronze,bronze,bronze,bronze,,,,,bronze,,bronze,
115,Dorian Finney-Smith,United States,,Houston Rockets,17,PF,C,2-Way Inside-Out Threat,"6'7""",201,220,99,"7'0""",213,,9,"May 4, 1993","Portsmouth, Virginia",Florida,76,75,80,71,84,64,70,80,76,67,82,62,83,80,80,81,62,84,40,84,54,50,54,58,72,54,65,60,44,68,32,67,72,83,43,51,74,74,75,51,50,52,70,78,2471,,,,bronze,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,bronze,bronze,,,,,,,bronze,silver
116,Doug McDermott,United States,,Sacramento Kings,7,PF,SF,Catch & Shoot Ace,"6'6""",198,225,101,"6'9""",206,,11,"January 3, 1992","Grand Forks, North Dakota",Creighton,71,73,85,78,87,76,60,50,68,59,60,60,67,81,67,83,65,79,50,65,60,66,62,60,75,54,65,67,47,65,27,48,52,58,32,42,63,50,40,39,30,48,30,76,2222,bronze,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Draymond Green,United States,,Golden State Warriors,23,PF,C,2-Way Mid-Range Point Center,"6'6""",198,230,104,"7'1""",216,,13,"March 4, 1990","Saginaw, Michigan",Michigan State,81,73,94,91,74,68,55,55,82,73,84,85,66,85,90,88,62,70,55,65,60,59,63,40,85,79,83,78,69,92,73,86,93,88,70,80,95,84,95,59,45,73,75,88,2786,,,,,,,,,,bronze,bronze,,,,,,,bronze,bronze,gold,,,bronze,,gold,gold,,silver,gold,bronze,gold,gold,gold,silver,gold,,,bronze,,gold
118,Drew Eubanks,United States,,Sacramento Kings,15,C,,Inside-Out Scoring Threat,"6'10""",208,245,110,"7'0""",213,,7,"February 1, 1997","Starkville, Mississippi",Oregon State,77,81,97,73,77,66,88,85,73,61,62,68,75,80,85,83,71,69,75,70,74,74,74,54,75,43,42,37,38,55,43,55,60,47,36,85,59,50,45,76,65,86,60,78,2451,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,bronze,bronze,,,bronze
119,Drew  Peterson,United States,,Charlotte Hornets,13,SF,PF,Catch & Shoot Threat,"6'9""",206,205,92,"7'1""",216,,2,"November 9, 1999","Libertyville, illinois",Southern California,70,71,70,74,79,75,75,50,71,59,58,62,68,85,85,80,56,73,60,65,45,47,46,45,70,60,69,68,58,68,38,45,52,43,40,42,45,50,40,59,52,66,60,72,2234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Drew Timme,United States,,Brooklyn Nets,26,C,PF,Stretch Five,"6'10""",208,235,106,"7'2""",218,,2,"September 9, 2000","Richardson, Texas",Gonzaga,71,69,86,75,75,79,70,30,65,48,40,68,66,80,75,81,66,68,70,65,68,67,68,40,80,53,58,52,40,70,47,46,57,40,46,45,58,47,30,66,66,66,75,75,2271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Dru Smith,United States,,Miami Heat,12,PG,SG,Perimeter Threat,"6'2""",188,200,90,"6'6""",198,,4,"December 30, 1997","Evansville, Indiana",Missouri,73,74,57,74,81,84,75,70,69,70,70,43,62,85,75,80,50,79,40,45,38,37,40,40,80,70,78,79,70,78,46,62,40,63,83,62,65,68,50,50,50,49,98,73,2377,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,
122,Duncan Robinson,United States,,Detroit Pistons,55,SG,SF,Catch & Shoot Ace,"6'7""",201,215,97,"7'1""",216,,7,"April 22, 1994","Las Vegas, Nevada",Michigan,77,85,94,81,84,90,85,75,68,59,65,35,72,85,75,83,55,75,30,70,40,44,35,54,90,65,66,72,56,70,60,43,50,52,38,32,50,50,30,39,30,47,75,78,2277,silver,bronze,,gold,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,
123,Duop Reath,Australia,South Sudan,Portland Trail Blazers,26,C,,Stretch Five,"6'9""",206,245,110,"7'1""",216,,7,"June 26, 1996","Perth, Australia",Louisiana State,75,81,85,68,75,80,95,85,73,59,52,73,75,83,90,80,61,68,50,60,55,55,55,68,74,43,40,52,46,44,35,53,62,37,41,67,68,50,45,61,69,52,80,75,2348,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,,,,silver
124,Dwight Powell,Canada,,Dallas Mavericks,7,C,,Inside-Out Scoring Threat,"6'10""",208,240,108,"7'1""",216,,11,"July 20, 1991","Toronto, Canada",Stanford,72,60,92,65,78,62,30,30,78,71,58,80,67,90,95,83,77,70,75,65,77,79,79,83,90,55,55,60,44,64,50,64,74,45,46,73,68,74,65,65,68,61,30,79,2475,,,,,,,,,,silver,,,silver,,,bronze,,,,,,,,,,,,,,,,,,,,bronze,,silver,,
125,Dylan Harper,United States,Philippines,San Antonio Spurs,2,SG,PG,,"6'6""",198,215,97,,,,0,"March 2, 2006","Franklin Lakes, New Jersey",Rutgers,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Dyson Daniels,Australia,,Atlanta Hawks,5,PG,SG,2-Way Inside-Out ISO Creator,"6'7""",201,199,90,"6'11""",211,,3,"March 17, 2003","Bendigo, Australia",NBA G League Ignite,83,73,91,68,80,59,70,70,78,79,89,52,75,89,85,80,60,85,25,75,44,55,47,62,85,79,82,86,79,82,66,84,67,94,98,58,87,95,90,56,51,61,65,88,2714,,,,,,,gold,,silver,,,,,,,,,,silver,,,,gold,,silver,gold,gold,,gold,gold,gold,gold,,gold,,,silver,,,silver
127,Egor Demin,Russia,,Brooklyn Nets,8,SF,SG,,"6'9""",206,200,90,,,,0,"March 3, 2006","Moscow, Russia",BYU,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Elijah Harkless,United States,,Utah Jazz,16,PG,SG,3 & D Threat,"6'3""",191,185,83,"6'7""",201,,2,"February 3, 2000","San Bernardino, California",UNLV,67,61,67,68,75,75,50,30,78,80,85,57,75,85,85,80,45,67,25,51,28,38,31,44,75,73,74,76,80,72,62,65,42,76,80,47,70,72,70,53,48,57,30,72,2299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Emanuel Miller,Canada,,Chicago Bulls,20,SF,PF,Interior Threat,"6'7""",201,215,97,"6'11""",211,,1,"June 19, 2000","Ontario, Canada",TCU,68,60,67,70,74,75,40,35,79,82,79,60,84,85,80,80,59,70,45,80,45,55,57,40,80,57,56,60,67,57,44,50,55,58,50,47,50,47,40,55,49,60,40,72,2235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Enrique Freeman,United States,,Minnesota Timberwolves,8,PF,C,Interior Threat,"6'7""",201,214,96,"6'11""",211,,1,"July 29, 2000","Cleveland, Ohio",Akron,69,56,74,66,66,67,35,30,79,74,74,60,81,88,95,80,65,74,60,80,61,61,62,40,80,54,59,62,59,60,32,58,66,66,35,56,68,63,50,49,40,57,75,77,2333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Eric Gordon,Bahamas,United States,Philadelphia 76ers,23,SG,SF,Perimeter Shot Creator,"6'3""",191,215,97,"6'9""",206,,17,"December 25, 1988","Indianapolis, Indiana",Indiana,75,71,77,80,85,75,60,50,79,79,79,60,82,92,85,78,60,75,30,70,35,63,50,60,94,68,69,79,78,73,43,58,42,73,46,56,73,68,50,35,30,39,60,76,2414,silver,,silver,gold,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,
132,Evan Mobley,United States,,Cleveland Cavaliers,4,PF,C,2-Way Inside-Out Threat,"6'11""",211,215,97,"7'4""",224,,4,"June 18, 2001","San Diego, California",USC,89,83,85,67,80,74,95,95,82,72,79,74,81,97,90,80,85,84,90,85,83,83,83,75,95,68,69,60,66,84,59,83,94,82,41,86,95,85,95,75,65,85,95,97,3005,,,,bronze,,gold,,bronze,bronze,silver,silver,bronze,,silver,silver,gold,,,,bronze,,,silver,,bronze,,,gold,silver,,,,gold,,gold,silver,silver,bronze,,gold
133,Franz Wagner,Germany,,Orlando Magic,22,SF,SG,Shot-Creating 3-Level Threat,"6'10""",208,220,99,"7'0""",213,,4,"August 27, 2001","Berlin, Germany",Michigan,86,86,91,76,75,86,90,98,76,70,73,65,75,85,85,80,74,93,55,80,57,59,59,95,95,78,80,85,68,84,73,64,56,73,53,50,74,73,70,54,40,68,95,90,2774,,,,bronze,,,gold,,gold,,gold,,,,silver,,,gold,gold,,,,gold,silver,silver,bronze,,,,,gold,,,bronze,,,,,gold,silver
134,Fred VanVleet,United States,,Houston Rockets,5,PG,,2-Way Perimeter Playmaker,"6'0""",183,197,89,"6'2""",188,,9,"February 25, 1994","Rockford, Illinois",Wichita State,80,76,75,82,78,81,80,60,79,83,83,42,75,95,94,82,47,70,25,35,30,32,28,55,98,82,84,86,83,85,70,66,27,83,66,51,79,74,80,41,33,49,85,84,2502,,,bronze,,bronze,,,,bronze,,,,,,,,bronze,bronze,,,,gold,bronze,silver,silver,,,,,,,,,bronze,,,,,,
135,Gabe Vincent,Nigeria,United States,Los Angeles Lakers,7,PG,SG,3-Level Scoring Threat,"6'2""",188,200,90,"6'7""",201,,7,"June 14, 1996","Modesto, California",UC Santa Barbara,77,83,93,94,81,78,75,75,70,73,73,40,66,85,69,82,47,80,25,45,26,32,26,55,90,69,78,82,70,79,37,50,37,60,46,45,60,57,45,35,33,37,90,79,2298,bronze,,,bronze,silver,,silver,,,,,,,,,,,,bronze,,,,silver,bronze,silver,,,,,,,,,,,,,,,
136,Garrett Temple,United States,,Toronto Raptors,17,SG,SF,Perimeter Defender,"6'5""",196,195,88,"6'9""",206,,16,"May 8, 1986","Baton Rouge, Louisiana",LSU,70,66,82,55,72,79,70,40,70,57,76,44,69,85,79,82,49,70,25,30,37,55,46,40,85,66,75,75,57,74,47,64,46,78,59,47,77,74,70,55,58,51,70,73,2309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Gary Harris,United States,,Milwaukee Bucks,14,SG,SF,2-Way 3-Level Shot Creator,"6'4""",193,210,95,"6'7""",201,,11,"September 14, 1994","Fishers, Indiana",Michigan State,72,70,88,79,75,79,60,40,76,75,80,53,78,85,80,83,56,84,40,50,28,51,47,60,85,65,75,76,70,75,31,68,68,82,56,57,80,55,80,43,41,44,40,76,2406,bronze,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,bronze,
138,Gary Trent Jr.,United States,,Milwaukee Bucks,5,SG,SF,Shot-Creating 3-Level Threat,"6'5""",196,209,94,"6'9""",206,,7,"January 18, 1999","Columbus, Ohio",Duke,79,79,94,78,85,83,65,70,79,85,85,58,90,80,70,82,62,80,40,75,44,57,46,84,73,66,70,79,77,71,31,50,50,61,53,30,60,64,35,38,31,45,80,80,2441,bronze,,,bronze,bronze,,,,silver,,,,,,bronze,,,,,,,bronze,,,,,,,,,,,,,,,,,bronze,gold
139,Georges Niang,United States,,Utah Jazz,20,PF,,Stretch Four,"6'7""",201,230,104,"6'10""",208,,9,"June 17, 1993","Lawrence, Massachusetts",Iowa State,77,78,97,79,84,80,80,50,69,44,55,60,72,88,80,84,60,77,25,50,70,71,70,40,74,57,65,67,44,70,37,51,60,55,35,42,62,60,40,51,40,62,95,77,2341,bronze,,,gold,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,
140,Giannis Antetokounmpo,Greece,Nigeria,Milwaukee Bucks,34,PF,C,2-Way Inside-The-Arc Playmaker,"6'11""",211,243,109,"7'4""",224,,12,"December 6, 1994","Athens, Greece",Filathlitikos (Greece),97,80,90,84,52,60,98,98,91,89,86,94,85,98,95,91,89,98,85,91,79,74,90,97,95,85,84,87,80,95,80,85,90,87,70,71,92,88,95,76,61,91,98,98,3196,,,,,,gold,silver,silver,gold,gold,hof,silver,gold,silver,gold,bronze,,bronze,silver,silver,,silver,gold,,silver,silver,silver,gold,gold,silver,silver,gold,gold,bronze,gold,gold,silver,silver,,gold
141,Goga Bitadze,Georgia,,Orlando Magic,35,C,,Board-Hunting Lob Threat,"6'11""",211,250,113,"7'2""",218,,6,"July 20, 1999","Sagarejo, Georgia","Budućnost (Prva A Liga, Montenegro)",79,76,97,68,65,64,95,65,70,53,54,88,63,80,75,80,67,50,75,65,76,68,76,40,85,59,54,60,52,69,58,57,64,25,49,89,80,40,55,85,83,86,65,80,2491,,,,,,silver,,bronze,,silver,,,silver,bronze,,silver,,,,,,,,,,,,bronze,,,,,,,,gold,silver,gold,,
142,Gradey Dick,United States,,Toronto Raptors,1,SG,SF,Shot-Creating 3-Level Threat,"6'6""",198,205,92,"6'9""",206,,2,"November 20, 2003","Wichita, Kansas City",Kansas,79,83,74,85,78,86,85,90,77,76,74,54,78,89,85,80,58,85,35,75,36,47,40,66,80,66,70,79,74,68,37,58,55,73,43,40,69,73,55,46,40,51,70,84,2479,bronze,,,silver,bronze,,,,bronze,,bronze,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,bronze,bronze
143,Grant Williams,United States,,Charlotte Hornets,2,PF,C,Stretch Four,"6'6""",198,236,106,"6'10""",208,,6,"November 30, 1998","Houston, Texas",Tennessee,76,76,81,73,80,84,70,70,76,58,70,73,66,88,95,80,65,79,50,60,59,58,66,60,90,61,69,66,54,72,43,65,68,68,56,67,69,60,65,55,45,64,60,77,2513,,,,silver,,,,,,,bronze,,,,,,,,bronze,,,,,,,,,,,,bronze,,,,,,silver,,,silver
144,Grayson Allen,United States,,Phoenix Suns,8,SF,SG,Inside-Out Shot Creator,"6'4""",193,198,89,"6'7""",201,,7,"October 8, 1995","Jacksonville, Florida",Duke,77,73,76,70,87,81,60,65,76,84,78,44,81,85,80,82,55,85,25,70,31,43,42,69,78,70,70,78,79,78,45,57,35,72,49,51,70,74,45,45,37,52,70,79,2400,gold,bronze,,gold,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,
145,GG Jackson,United States,,Memphis Grizzlies,45,SF,SF,Rim Rocker,"6'9""",206,210,95,"7'0""",213,,2,"December 17, 2004","Columbia, South Carolina",South Carolina,76,72,71,70,77,74,65,75,76,82,79,62,82,88,60,80,71,71,65,85,59,59,59,78,95,57,59,62,80,50,36,55,58,58,37,50,70,69,40,59,58,60,60,82,2465,bronze,,,silver,,,,,,silver,gold,,,,silver,,,,silver,,,,,,,,,,,,,,,,,,,,silver,gold
146,Guerschon Yabusele,France,,New York Knicks,28,PF,C,Inside-Out Scoring Threat,"6'8""",203,260,117,"7'0""",213,,9,"December 17, 1995","Dreux, France",France,79,82,87,67,81,74,95,85,74,62,60,74,70,80,85,84,65,75,50,85,62,62,62,45,80,58,62,66,54,66,43,51,62,66,43,52,52,41,40,65,63,66,95,79,2475,,,,bronze,,silver,,,,silver,silver,,,,silver,,,,,,,,bronze,,,,,bronze,,,,,,,,,,silver,,gold
147,Gui Santos,Brazil,,Golden State Warriors,15,PF,SF,3 & D Threat,"6'7""",201,185,83,"6'11""",211,,3,"June 22, 2002","Federal District, Brazil","Minas (Novo Basquete Brasil, Brazil)",75,76,86,69,78,71,80,70,71,73,72,50,74,80,60,86,58,72,50,65,52,53,57,45,69,60,57,62,69,55,55,58,66,69,43,51,70,57,50,65,68,62,98,76,2420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Harrison Barnes,United States,,San Antonio Spurs,40,SF,PF,Shot-Creating 3-Level Threat,"6'8""",203,225,101,"6'11""",211,,13,"May 30, 1992","Ames, Iowa",UNC,79,79,93,87,86,78,60,70,81,77,75,70,95,92,75,82,68,86,55,80,48,65,83,40,88,67,72,78,73,75,36,58,67,75,33,40,65,65,60,49,48,49,70,81,2572,bronze,,,silver,,bronze,,,,,bronze,,,,bronze,,,silver,,,,,,,,,,,,,bronze,,,,,,,,silver,gold
149,Harrison Ingram,United States,,San Antonio Spurs,55,PF,SF,Promising Prospect,"6'7""",201,230,104,"6'11""",211,,1,"November 27, 2002","Dallas, Texas",North Carolina,69,62,73,73,74,62,50,40,79,82,75,73,82,88,75,80,61,73,45,75,59,58,57,42,80,62,62,70,75,62,41,56,60,62,49,39,69,60,55,60,59,60,50,78,2367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Haywood Highsmith,United States,,Brooklyn Nets,24,PF,SF,3 & D Threat,"6'5""",196,220,99,"7'0""",213,,7,"December 9, 1996","Baltimore, Maryland",Wheeling,75,79,88,70,81,75,80,80,73,70,81,50,79,80,65,86,56,78,35,50,52,54,52,44,80,56,55,70,64,55,35,71,70,79,59,61,78,77,75,49,45,52,40,78,2423,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,bronze,,,silver,silver,bronze,,,,,,,,silver
151,Herbert Jones,United States,,New Orleans Pelicans,2,SG,SF,Wing Stopper,"6'7""",201,206,93,"7'0""",213,,4,"October 6, 1998","Tuscaloosa, Alabama",Alabama,81,69,72,78,73,83,60,50,78,74,93,59,72,82,85,80,66,72,55,75,62,62,62,55,85,68,69,75,69,75,54,80,62,91,86,53,88,88,90,46,43,48,60,84,2624,,,,silver,,,,,,,bronze,,,,,,,,,,,,bronze,,,gold,gold,bronze,gold,silver,gold,gold,,gold,bronze,,,,silver,silver
152,Hunter Tyson,United States,,Denver Nuggets,5,PF,SF,Mid-Range Scoring Threat,"6'8""",203,215,97,"6'10""",208,,2,"June 13, 2000","Monroe, North Carolina",Clemson,70,68,72,76,73,70,65,50,73,68,68,52,77,88,75,80,59,70,60,75,49,49,49,50,70,58,65,68,60,65,32,52,58,62,33,60,58,54,40,57,49,65,50,79,2284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Immanuel Quickley,United States,,Toronto Raptors,5,PG,SG,All-Around Star,"6'2""",188,190,86,"6'8""",203,,5,"June 17, 1999","Havre de Grace, Maryland",Kentucky,81,86,85,87,82,86,80,98,79,82,82,54,79,89,85,79,64,89,40,55,50,51,45,86,98,81,84,86,76,84,76,58,37,80,40,35,78,64,75,45,34,55,60,83,2629,bronze,,gold,bronze,bronze,,gold,,silver,,,,,,,,bronze,,,,,bronze,,,bronze,,,,,,,,,bronze,,,,,bronze,
154,Isaac Jones,United States,,Sacramento Kings,17,PF,C,Rim Protector,"6'8""",203,245,110,"7'1""",216,,1,"July 11, 2000","Spanaway, Washington",Washington State,74,65,78,64,49,62,75,60,77,70,67,70,74,85,90,80,64,70,75,75,52,50,50,44,95,47,44,58,60,44,28,55,60,59,28,81,58,55,45,66,67,64,90,77,2353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Isaac Okoro,United States,,Chicago Bulls,35,SF,SG,Versatile Stopper,"6'5""",196,225,101,"6'9""",206,,5,"January 26, 2001","Atlanta, Georgia",Auburn,77,68,80,60,80,68,70,50,80,77,85,67,80,89,80,82,62,84,45,75,47,49,50,50,95,64,69,72,73,69,35,71,68,84,43,55,80,82,85,48,51,44,65,79,2517,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,bronze,silver,,bronze,,,,,,bronze
156,Isaiah Collier,United States,,Utah Jazz,13,PG,SG,Playmaking Point,"6'4""",193,193,87,"6'8""",203,,1,"October 8, 2004","Atlanta, Georgia",USC,79,75,88,57,73,67,80,85,81,95,88,60,75,89,80,80,54,74,30,75,28,41,37,54,95,86,86,86,95,86,79,51,30,62,49,45,57,57,55,44,34,54,60,82,2468,,,,,,,bronze,,bronze,,bronze,,,,,,,,silver,silver,,gold,silver,,silver,,,,,,,,,,,,,,,
157,Isaiah Crawford,United States,,Houston Rockets,24,SF,SG,Catch & Shoot Threat,"6'5""",196,220,99,"6'10""",208,,1,"November 1, 2001","Fort Worth, Texas",Louisiana Tech,68,66,71,74,78,73,50,50,71,61,61,59,74,90,75,80,60,70,50,65,57,57,57,45,80,49,48,57,57,47,37,50,55,57,45,44,52,57,40,57,54,59,50,73,2209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Isaiah Hartenstein,Germany,United States,Oklahoma City Thunder,55,C,,2-Way Inside-The-Arc Threat,"7'0""",213,250,113,"7'2""",218,,8,"May 5, 1998","Eugene, Oregon",Žalgiris Kaunas (Lithuania),82,78,97,85,55,67,80,85,76,62,62,84,70,80,95,77,72,77,75,65,74,64,70,72,75,55,50,56,42,60,67,65,83,41,42,78,80,54,80,83,75,91,70,85,2625,,,,,,bronze,,bronze,,gold,silver,,bronze,,,gold,,,,,,,,,,,,,,,,,,,bronze,gold,gold,gold,,silver
159,Isaiah Jackson,United States,,Indiana Pacers,22,C,PF,Board-Hunting Lob Threat,"6'9""",206,205,92,"7'3""",221,,4,"January 10, 2002","Pontiac, Michigan",Kentucky,76,64,82,69,59,71,55,45,76,73,73,65,81,82,80,80,68,79,85,80,59,48,55,56,80,46,40,59,54,44,35,64,70,54,63,89,66,49,55,87,91,83,50,79,2438,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,gold,gold,silver,,silver
160,Isaiah Joe,United States,,Oklahoma City Thunder,11,SG,PG,Inside-Out Shot Creator,"6'3""",191,165,74,"6'8""",203,,5,"July 2, 1999","Fort Smith, Arkansas",Arkansas,79,83,91,72,88,79,80,85,74,72,77,47,79,80,75,87,57,81,40,60,35,38,30,85,85,62,67,74,63,69,37,52,42,69,42,40,61,52,55,44,38,50,75,79,2379,silver,bronze,silver,gold,silver,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
